2022-05-15 20:40:51+00:00,"b'Since 1963, US General in WH LBJ gave us defeat in Vietnam- created #Racial &amp; FEMGender Quotas in Hiring=2022, DEMs\xe2\x80\xa6 https://t.co/pVL0Rnt1fK'",b'KusiolekR',b'SiliconValley+RaleighTriangle '
2022-05-15 20:18:16+00:00,b'Thank you @donnabrazile for your clear #understanding of where the #racial issues need to be addressed. An 18yearol\xe2\x80\xa6 https://t.co/EzSYw15Q20',b'SAWFitness',"b'Philadelphia, PA'"
2022-05-15 20:16:00+00:00,b'S | #Stigmabase | CA \xe2\x80\x94 Tags of the week about #Racial condition in America | Racial profiling is not limited to an\xe2\x80\xa6 https://t.co/DxU80OWI6G',b'stigmabase',b'Worldwide'
2022-05-15 19:47:58+00:00,b'In our work we characterised this type of #racial #bias as a psychologically fragile distinction between juveniles\xe2\x80\xa6 https://t.co/MoL7hNqXbw',b'AneetaRattan',"b'London, England'"
2022-05-15 16:50:22+00:00,b'Three Recent Shootings at Asian Businesses In Dallas May Be Connected Racial Hate Crimes Perpetrated by a Black Ass\xe2\x80\xa6 https://t.co/6K26UJZUdu',b'MichaelOngRisk',b''
2022-05-15 16:01:11+00:00,"b""\xf0\x9f\x93\xa3 Have you read the latest #IdentitiesBlog?\n\n'#Racial identities in the new South Africa'\n\nBy @thePhDandMe \n\n#race\xe2\x80\xa6 https://t.co/Mdu3YGqSa0""",b'IDjnl',"b'Edinburgh, Scotland'"
2022-05-15 15:48:09+00:00,"b'#House #Speaker #NancyPelosi, D-Calif., on #Sunday said #SocialMedia #companies bear some #responsibility for the\xe2\x80\xa6 https://t.co/xhysHx5dIT'",b'ReddySalina',b'Earth'
2022-05-15 15:12:54+00:00,"b'#mattgaetz @mattgaetz is an idiot for calling ADL racist when their only mission is to FIGHT #Racial hatred, like t\xe2\x80\xa6 https://t.co/T0oIgHhgdT'",b'RJ1340',b'Chicago USA'
2022-05-15 14:32:10+00:00,"b'Mass-shooting at a Tops supermarket in #BuffaloNY , resulting in 10 people killed, several wounded. Another anti-Bl\xe2\x80\xa6 https://t.co/THv2M2RUs5'",b'Geleo01',b''
2022-05-15 14:00:41+00:00,b'\xf0\x9f\x8e\x88**TOMORROW** Join our See Her Be Her open house for girls! While Black girls experience barriers perpetuated by\xe2\x80\xa6 https://t.co/gtPZnNwAJQ',b'Iraisegirls',"b'Bronx, NY'"
2022-05-15 13:33:16+00:00,b'The internet #community is sharing a mixture of feelings to denounce the #racial #discrimination ongoing in the #US\xe2\x80\xa6 https://t.co/peol5SQfod',b'MoroccoWNews',"b'Rabat, Morocco'"
2022-05-15 12:42:02+00:00,"b""#African villages wanted #COVID19 #vaccines when people were dying. Now that they've arrived, some believe #rumors\xe2\x80\xa6 https://t.co/iZoIlZCANU""",b'newstruthliz',b''
2022-05-15 12:04:16+00:00,"b'#Buffalo #NewYork Horrible! But this America AND people can hold guns, shoting any one  who is innocent and they  d\xe2\x80\xa6 https://t.co/jtOk3HQsdN'",b'Qishenyo',b'China'
2022-05-15 09:25:38+00:00,b'#NewYork\n10 people dead after #racial shooting at supermarket in #NewYork\n\nRead HERE | https://t.co/pgBh9LeMHf\xe2\x80\xa6 https://t.co/T5Wa9dP4sr',b'Hindustan2369',b''
2022-05-15 06:17:54+00:00,b'@JeffSharlet #WhiteSupremacistTerrorism #DomesticTerrorism #Racial #Antisemetic just spewing rabid hatred for all!',b'CSojourner',b'FL Cong Dist 8 Traitor Posey'
2022-05-15 06:17:47+00:00,b'#WhiteSupremacistTerrorism #DomesticTerrorism #Racial #Antisemetic just spewing rabid hatred for all! https://t.co/K1TLHEkaWW',b'CSojourner',b'FL Cong Dist 8 Traitor Posey'
2022-05-15 04:09:15+00:00,"b""Those who lecture #India about safety of minorities can't save the minority people in their own countries \xf0\x9f\x99\x84\nThis is\xe2\x80\xa6 https://t.co/389eyJDYIt""",b'MeSanketMunde',b'India'
